dataset,comparator,metric,fold_count,fedsift_minus_comparator_mean,fedsift_minus_comparator_sd,fedsift_minus_comparator_ci95_low_t,fedsift_minus_comparator_ci95_high_t,benefit_oriented_mean,benefit_oriented_sd,benefit_oriented_ci95_low_t,benefit_oriented_ci95_high_t
pima,fedsift_public_argmin_rule,npv,5,-0.0010734963087141614,0.02361754215832516,-0.03039854813276619,0.028251555515337867,-0.0010734963087141614,0.02361754215832516,-0.03039854813276619,0.028251555515337867
pima,fedsift_public_argmin_rule,ppv,5,0.004349578102159879,0.020849114406280227,-0.021538016650549774,0.03023717285486953,0.004349578102159879,0.020849114406280227,-0.021538016650549774,0.03023717285486953
pima,fedsift_public_argmin_rule,sensitivity,5,6.988120195665637e-05,0.03212578780521035,-0.03981955292970663,0.03995931533361994,6.988120195665637e-05,0.03212578780521035,-0.03981955292970663,0.03995931533361994
pima,fedsift_public_argmin_rule,specificity,5,0.005999999999999994,0.051768716422179124,-0.05827935141463991,0.0702793514146399,0.005999999999999994,0.051768716422179124,-0.05827935141463991,0.0702793514146399
pima,fedsift_uniform_schedule,auroc,5,0.0006135569531795948,0.00236270891230986,-0.002320133641470738,0.003547247547829928,0.0006135569531795948,0.00236270891230986,-0.002320133641470738,0.003547247547829928
pima,fedsift_uniform_schedule,average_precision,5,0.0060753530970702576,0.007923559701924172,-0.0037630457224271533,0.01591375191656767,0.0060753530970702576,0.007923559701924172,-0.0037630457224271533,0.01591375191656767
pima,fedsift_uniform_schedule,balanced_accuracy,5,0.0005904961565339039,0.010019987852349919,-0.011850962022168067,0.013031954335235874,0.0005904961565339039,0.010019987852349919,-0.011850962022168067,0.013031954335235874
pima,fedsift_uniform_schedule,brier_score,5,-0.0012483357920429373,0.0012148223719716416,-0.002756736995532629,0.00026006541144675457,0.0012483357920429373,0.0012148223719716416,-0.00026006541144675457,0.002756736995532629
pima,fedsift_uniform_schedule,f1,5,0.0017064837629198193,0.008919877099867054,-0.009369006500387324,0.012781974026226963,0.0017064837629198193,0.008919877099867054,-0.009369006500387324,0.012781974026226963
pima,fedsift_uniform_schedule,log_loss,5,-0.003178248788599081,0.002536042471959037,-0.006327161423946302,-2.9336153251859586e-05,0.003178248788599081,0.002536042471959037,2.9336153251859586e-05,0.006327161423946302
pima,fedsift_uniform_schedule,mcc,5,0.002260860239632878,0.015645426971276005,-0.017165503167126728,0.021687223646392487,0.002260860239632878,0.015645426971276005,-0.017165503167126728,0.021687223646392487
pima,fedsift_uniform_schedule,npv,5,0.005502454157407776,0.015171252836998562,-0.013335144297940095,0.024340052612755646,0.005502454157407776,0.015171252836998562,-0.013335144297940095,0.024340052612755646
pima,fedsift_uniform_schedule,ppv,5,-0.0021009116576840015,0.01318155496529897,-0.01846797389843983,0.014266150583071829,-0.0021009116576840015,0.01318155496529897,-0.01846797389843983,0.014266150583071829
pima,fedsift_uniform_schedule,sensitivity,5,0.011180992313067795,0.028108187916016682,-0.02371993267699627,0.04608191730313186,0.011180992313067795,0.028108187916016682,-0.02371993267699627,0.04608191730313186
pima,fedsift_uniform_schedule,specificity,5,-0.009999999999999998,0.03316624790355401,-0.05118133597734416,0.031181335977344165,-0.009999999999999998,0.03316624790355401,-0.05118133597734416,0.031181335977344165
pima,fedsift_without_sift,auroc,5,0.0012837176799441075,0.0021784639513370598,-0.0014212025798158417,0.0039886379397040565,0.0012837176799441075,0.0021784639513370598,-0.0014212025798158417,0.0039886379397040565
pima,fedsift_without_sift,average_precision,5,0.0032572213792618323,0.006484975354914593,-0.004794939048174311,0.011309381806697976,0.0032572213792618323,0.006484975354914593,-0.004794939048174311,0.011309381806697976
pima,fedsift_without_sift,balanced_accuracy,5,0.0037037037037037203,0.008927385772736267,-0.007381109808379415,0.014788517215786855,0.0037037037037037203,0.008927385772736267,-0.007381109808379415,0.014788517215786855
pima,fedsift_without_sift,brier_score,5,-0.0009674742537768233,0.0013637298085032589,-0.0026607684602726364,0.0007258199527189899,0.0009674742537768233,0.0013637298085032589,-0.0007258199527189899,0.0026607684602726364
pima,fedsift_without_sift,f1,5,0.0040917628789941315,0.008298563703558462,-0.006212264908514925,0.014395790666503188,0.0040917628789941315,0.008298563703558462,-0.006212264908514925,0.014395790666503188
pima,fedsift_without_sift,log_loss,5,-0.004876139761797816,0.011309823195086253,-0.01891914004918631,0.00916686052559068,0.004876139761797816,0.011309823195086253,-0.00916686052559068,0.01891914004918631
pima,fedsift_without_sift,mcc,5,0.00703399014553775,0.015153311716882117,-0.01178133146687408,0.025849311757949578,0.00703399014553775,0.015153311716882117,-0.01178133146687408,0.025849311757949578
pima,fedsift_without_sift,npv,5,0.004473248335432567,0.008347397510090272,-0.005891414631542284,0.014837911302407417,0.004473248335432567,0.008347397510090272,-0.005891414631542284,0.014837911302407417
pima,fedsift_without_sift,ppv,5,0.002249694471764785,0.012445872430445393,-0.013203897251356069,0.017703286194885638,0.002249694471764785,0.012445872430445393,-0.013203897251356069,0.017703286194885638
pima,fedsift_without_sift,sensitivity,5,0.007407407407407418,0.016563466499998465,-0.013158852631094824,0.02797366744590966,0.007407407407407418,0.016563466499998465,-0.013158852631094824,0.02797366744590966
pima,fedsift_without_sift,specificity,5,1.1102230246251566e-17,0.024494897427831796,-0.030414432275832775,0.030414432275832796,1.1102230246251566e-17,0.024494897427831796,-0.030414432275832775,0.030414432275832796
retinopathy,fedavg_nonprivate,auroc,5,-0.044832437395412206,0.04719433878774116,-0.10343194878718198,0.013767073996357578,-0.044832437395412206,0.04719433878774116,-0.10343194878718198,0.013767073996357578
retinopathy,fedavg_nonprivate,average_precision,5,-0.04618472919043517,0.038391259158955714,-0.09385377353382109,0.0014843151529507492,-0.04618472919043517,0.038391259158955714,-0.09385377353382109,0.0014843151529507492
retinopathy,fedavg_nonprivate,balanced_accuracy,5,-0.014217276052541927,0.041288556548115134,-0.06548379025613688,0.037049238151053016,-0.014217276052541927,0.041288556548115134,-0.06548379025613688,0.037049238151053016
