dataset,method,metric,direction,fold_count,mean,sd,ci95_low_t,ci95_high_t
pima,fedsift_without_sift,mcc,higher,5,0.4526122849720112,0.034889665030684934,0.40929104399402083,0.4959335259500016
pima,fedsift_without_sift,npv,higher,5,0.9134849021077148,0.031575263400265736,0.8742790343098038,0.9526907699056258
pima,fedsift_without_sift,ppv,higher,5,0.5286529732060826,0.031274463030241575,0.48982059839827696,0.5674853480138883
pima,fedsift_without_sift,sensitivity,higher,5,0.895527603074773,0.05346597015613854,0.8291408328028588,0.9619143733466872
pima,fedsift_without_sift,specificity,higher,5,0.568,0.07190271204899021,0.47872099107555666,0.6572790089244432
retinopathy,fedavg_nonprivate,auroc,higher,5,0.7479521771538298,0.03031457633748932,0.7103116590947695,0.7855926952128901
retinopathy,fedavg_nonprivate,average_precision,higher,5,0.804968470402607,0.027116379275269942,0.7712990384948656,0.8386379023103484
retinopathy,fedavg_nonprivate,balanced_accuracy,higher,5,0.607445910524679,0.042949169037578006,0.5541174735779505,0.6607743474714075
retinopathy,fedavg_nonprivate,brier_score,lower,5,0.20027407601863487,0.010950232691435477,0.1866775663137255,0.21387058572354423
retinopathy,fedavg_nonprivate,f1,higher,5,0.7077565886028238,0.007087366605866261,0.698956460646248,0.7165567165593996
retinopathy,fedavg_nonprivate,log_loss,lower,5,0.5767007098246077,0.0252661810772619,0.5453286024088744,0.6080728172403411
retinopathy,fedavg_nonprivate,mcc,higher,5,0.2510955624752635,0.06499570030523245,0.1703927413682148,0.3317983835823122
retinopathy,fedavg_nonprivate,npv,higher,5,0.6958494208494208,0.01961313005817102,0.6714965033641017,0.7202023383347399
retinopathy,fedavg_nonprivate,ppv,higher,5,0.6054598062583272,0.03663844878154638,0.5599671634562484,0.650952449060406
retinopathy,fedavg_nonprivate,sensitivity,higher,5,0.8593362654938025,0.06786182344660704,0.7750746824676903,0.9435978485199147
retinopathy,fedavg_nonprivate,specificity,higher,5,0.3555555555555555,0.15194780166467373,0.1668874406223238,0.5442236704887873
retinopathy,dp_fedavg,auroc,higher,5,0.7110647099185018,0.035307524112889545,0.6672246283618155,0.7549047914751881
retinopathy,dp_fedavg,average_precision,higher,5,0.768512860841101,0.034276722780910145,0.725952688187634,0.811073033494568
retinopathy,dp_fedavg,balanced_accuracy,higher,5,0.5950075525345417,0.042968084305178074,0.5416556291810178,0.6483594758880656
retinopathy,dp_fedavg,brier_score,lower,5,0.2230573312217255,0.014114224611447236,0.2055322066591299,0.24058245578432108
retinopathy,dp_fedavg,f1,higher,5,0.6992150490840988,0.013591583590978307,0.682338869060604,0.7160912291075936
retinopathy,dp_fedavg,log_loss,lower,5,0.6451745425226353,0.037999010628445865,0.5979925390579318,0.6923565459873388
retinopathy,dp_fedavg,mcc,higher,5,0.2225595153427394,0.07280441937825609,0.13216088889063018,0.3129581417948486
retinopathy,dp_fedavg,npv,higher,5,0.6685134818049193,0.03508310347356324,0.6249520552765383,0.7120749083333003
retinopathy,dp_fedavg,ppv,higher,5,0.596511640255835,0.03855350925882057,0.5486411358047419,0.6443821447069281
retinopathy,dp_fedavg,sensitivity,higher,5,0.8511262161801947,0.05925396893195947,0.7775526962066961,0.9246997361536933
retinopathy,dp_fedavg,specificity,higher,5,0.3388888888888889,0.13789769771208496,0.1676662822046071,0.5101114955731707
retinopathy,dp_fedadam,auroc,higher,5,0.7120175386635469,0.04328187211908145,0.6582759962784241,0.7657590810486696
retinopathy,dp_fedadam,average_precision,higher,5,0.7660104389594579,0.04068910071011676,0.7154882474884185,0.8165326304304972
retinopathy,dp_fedadam,balanced_accuracy,higher,5,0.5948483569535149,0.039709897514098626,0.5455420068378974,0.6441547070691324
retinopathy,dp_fedadam,brier_score,lower,5,0.22444485350317994,0.010459434110540542,0.21145775072653733,0.23743195627982255
retinopathy,dp_fedadam,f1,higher,5,0.6996762296940571,0.015776357741134443,0.6800872942641072,0.719265165124007
retinopathy,dp_fedadam,log_loss,lower,5,0.6523182961364068,0.019198744459984925,0.6284799063297295,0.6761566859430841
retinopathy,dp_fedadam,mcc,higher,5,0.22424428943194852,0.06711304357639296,0.14091243941326081,0.3075761394506362
